mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
506167,Jangaon,TS,Jangaon,17.719341,79.161831
761003,Behrampur,OR,Behrampur,19.404712,84.867512
582205,Gadag,KA,Gadag,15.424257,75.537212
841206,Ekma,BR,Ekma,26.043335,84.625153
756165,Bhadrak,OR,Bhadrak,21.108689,86.668378
231305,Chunnar,UP,Chunnar,25.157058,82.956026
396238,Silvassa-DNH,DN,Silvassa-DNH,20.274985,73.01395
301001,Alwar,RJ,Alwar,27.552799,76.604049
506144,Ghanpur,TS,Ghanpur,17.85459,79.369908
636016,Salem,TN,Salem,11.676471,78.145498
177211,Amb,HP,Amb,31.615257,76.140704
626127,Sivakasi,TN,Sivakasi,9.367067,77.675859
303004,Dausa,RJ,Dausa,26.773216,76.212706
722146,Bankura,WB,Bankura,23.21143,87.024954
631209,Arakkonam,TN,Arakkonam,13.175661,79.61311
688506,Changanacherry,KL,Changanacherry,9.47316,76.459822
225306,Fatehpur-UP,UP,Fatehpur-UP,27.211606,81.109102
492013,Raipur,CG,Raipur,21.224443,81.606943
691007,Kollam,KL,Kollam,8.885908,76.569492
133104,Ambala,HR,Ambala,30.299832,76.969876
272001,Basti,UP,Basti,26.794693,82.734535
230139,Lalganj Ajhara,UP,Lalganj Ajhara,26.047175,81.66537
627814,Tenkasi,TN,Tenkasi,8.954707,77.324332
134113,Zirakpur,PB,Zirakpur,30.668403,76.831023
622401,Ponnamaravathi,TN,Ponnamaravathi,10.30229,78.541229
211007,Allahabad,UP,Allahabad,25.411438,81.844197
466115,Sehore,MP,Sehore,23.02617,77.021531
712258,Bally,WB,Bally,22.66081,88.348608
301712,Khairthal,RJ,Khairthal,27.857355,76.649811
813227,Sultanganj,BR,Sultanganj,25.15253,86.709204
233227,Mohammadabad,UP,Mohammadabad,25.623039,83.757064
759024,Kamakhyanagar,OR,Kamakhyanagar,20.968266,85.747046
782447,Lumding,AS,Lumding,25.76577,93.174995
844101,Hajipur,BR,Hajipur,25.691841,85.212706
201011,Ghaziabad,UP,Ghaziabad,28.663229,77.323928
721652,Tamluk,WB,Tamluk,22.199386,87.84522
313602,Bhatewar,RJ,Bhatewar,24.616786,74.011295
482006,Jabalpur,MP,Jabalpur,23.194445,79.953534
722161,Mirzapur-WB,WB,Mirzapur-WB,22.921827,87.610856
146112,Hoshiarpur,PB,Hoshiarpur,31.400878,75.886719
855105,Katihar,BR,Katihar,25.660685,87.715501
206120,Bakewar,UP,Bakewar,26.655108,79.226578
497451,Manendragarh,CG,Manendragarh,23.191619,82.352617
625708,Madurai,TN,Madurai,9.754943,77.892115
743245,Bongaon,WB,Bongaon,22.972318,88.779972
600021,Chennai,TN,Chennai,13.112399,80.278703
713372,Asansol,WB,Asansol,23.685403,86.856549
209722,Kannauj,UP,Kannauj,27.115896,79.733448
441302,Katol,MH,Katol,21.270589,78.585569
576103,Manipal,KA,Manipal,13.347872,74.73573
623612,Muthukulathur,TN,Muthukulathur,9.346501,78.515424
769041,Rourkela,OR,Rourkela,22.234061,84.780846
501203,Shankarpalle,TS,Shankarpalle,17.454593,78.132112
610106,Thiruvarur,TN,Thiruvarur,10.734232,79.658664
